Propagule ID,Collection Date,Mass (g),Total length (cm),Diameter (mm),Epicotyl length (cm),Hypocotyl color,Tag #,Treatment,Notes,Processed by,Date Entered,Entered by
RM_CP_070621_674,7/6/2021,20.1,35.5,10.99,7.2,G,674,BB,Bruised,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_675,7/6/2021,10.87,24.6,8.91,4.5,,675,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_676,7/6/2021,26.42,34.7,12.55,6.1,G,676,TP,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_677,7/6/2021,12.25,26.6,8.73,3.1,YG,677,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_678,7/6/2021,24.58,37.4,12.43,9,G,678,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_679,7/6/2021,22.9,34.6,10.16,1.8,G,679,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_680,7/6/2021,31.55,36.4,13.31,4,G,680,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_681,7/6/2021,12.04,20.2,10.24,2.9,G,681,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_682,7/6/2021,10.53,24.3,9.94,5.2,G,682,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_683,7/6/2021,18.47,30.3,10.39,5.9,G,683,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_684,7/6/2021,11.29,24.1,9.18,4.5,G,684,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_685,7/6/2021,22.92,28.6,11.81,4.8,B,685,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_686,7/6/2021,19.4,28.3,13.2,5.5,G,686,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_687,7/6/2021,13.74,24.5,10,3.5,G,687,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_688,7/6/2021,24.73,34.7,11.93,3.5,YG,688,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_689,7/6/2021,20.47,30.2,10.23,3.5,G,689,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_690,7/6/2021,13.89,28.8,10.2,5.2,G,690,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_691,7/6/2021,24.51,33.5,11.05,3.8,G,691,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_692,7/6/2021,17.07,32.6,10.17,5,G,692,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_693,7/6/2021,20.64,33.2,10.19,4,G,693,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_694,7/6/2021,26.46,32.2,12.7,3.3,G,694,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_695,7/6/2021,28.85,36.5,11.75,6,G,695,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_696,7/6/2021,20.22,29.1,12.27,3.2,G,696,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_697,7/6/2021,16.62,26.6,10.74,2.8,G,697,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_698,7/6/2021,20.75,30.9,11.24,6.1,G,698,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_699,7/6/2021,21.36,36.8,10.53,8.3,G,699,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_700,7/6/2021,18.57,32.4,11.03,6.5,G,700,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_701,7/6/2021,14.56,27.9,9.32,2,G,701,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_702,7/6/2021,22.41,31.2,11.79,5,B,702,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_703,7/6/2021,14.65,27.1,16.37,4.4,G,703,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_704,7/6/2021,17.49,25.2,11.66,3.8,G,704,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_705,7/6/2021,26.54,34.8,11.87,3,G,705,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_706,7/6/2021,19.9,30,10.97,5.1,G,706,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_707,7/6/2021,25.03,33.4,10.93,2.9,G,707,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_708,7/6/2021,24.53,30.7,13.11,3.9,G,708,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_709,7/6/2021,14.17,28.7,10.28,2.2,G,709,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_710,7/6/2021,20.32,33.6,11.01,5.5,G,710,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_711,7/6/2021,10.64,23,10.19,1.5,G,711,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_712,7/6/2021,22,32.5,12.59,7.1,G,712,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_713,7/6/2021,18.93,30.9,10.28,2.1,G,713,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_714,7/6/2021,17.54,28.1,11.27,2.4,G,714,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_715,7/6/2021,18.17,32.4,10.51,2.8,G,715,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_716,7/6/2021,19.12,33.1,11.12,8.5,G,716,TP,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_717,7/6/2021,18.16,31.6,10.63,2.7,G,717,CC,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_718,7/6/2021,20.26,28.7,11.34,3.9,G,718,BB,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_719,7/6/2021,19.1,29.5,11.04,1.8,G,719,TP,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_720,7/6/2021,12.21,25.6,9.21,2.7,G,720,CC,,"LU, KWG",02/21/2022,HAS
RM_CP_061821_721,7/6/2021,13.9,28,9.76,1.7,G,721,BB,,"KH, AJH, CDB, LU, KWG",02/21/2022,HAS
RM_CP_070621_722,7/6/2021,14.51,29.6,10.08,3.9,G,722,CC,Warty,"LU, KWG",02/21/2022,HAS
